time,sensor,H,P,T
2017-12-19 14:07:18,DHT22,15.7,NaN,25.5
2017-12-19 14:07:25,DHT22,15.7,NaN,25.5
2017-12-19 14:07:32,DHT22,15.7,NaN,25.6
2017-12-19 14:07:38,DHT22,15.7,NaN,25.6
2017-12-19 14:07:45,DHT22,15.7,NaN,25.6
2017-12-19 14:07:52,DHT22,15.8,NaN,25.6
2017-12-19 14:07:59,DHT22,16.3,NaN,25.6
2017-12-19 14:08:06,DHT22,16.1,NaN,25.5
2017-12-19 14:08:12,DHT22,16.5,NaN,25.5
2017-12-19 14:08:19,DHT22,15.8,NaN,25.5
2017-12-19 14:08:26,DHT22,15.7,NaN,25.5
2017-12-19 14:08:33,DHT22,15.8,NaN,25.5
2017-12-19 14:08:39,DHT22,15.7,NaN,25.5
2017-12-19 14:08:46,DHT22,15.7,NaN,25.5
2017-12-19 14:08:53,DHT22,15.8,NaN,25.5
2017-12-19 14:09:00,DHT22,15.8,NaN,25.5
2017-12-19 14:09:06,DHT22,NaN,NaN,25.6
2017-12-19 14:09:07,DHT22,15.9,NaN,NaN
2017-12-19 14:09:13,DHT22,16.2,NaN,25.5
